City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
vaini,to,"04/19/2020, 11:03:09",-21.2,-175.2,77.0,83,20,9.17,few clouds,0.0,0.0
nuuk,gl,"04/19/2020, 11:01:51",64.18,-51.72,32.0,90,77,40.26,light shower snow,0.0,0.0
isangel,vu,"04/19/2020, 11:03:09",-19.55,169.27,78.89,84,100,16.4,light rain,1.16,0.0
vaini,to,"04/19/2020, 11:03:10",-21.2,-175.2,77.0,83,20,9.17,few clouds,0.0,0.0
busselton,au,"04/19/2020, 11:03:10",-33.65,115.33,55.99,58,97,14.7,overcast clouds,0.0,0.0
hillsborough,gd,"04/19/2020, 11:03:10",37.57,-122.38,61.0,62,75,5.44,broken clouds,0.0,0.0
saskylakh,ru,"04/19/2020, 11:03:11",71.92,114.08,15.55,93,0,7.4,clear sky,0.0,0.0
nanortalik,gl,"04/19/2020, 10:58:31",60.14,-45.24,30.18,89,14,15.79,few clouds,0.0,0.0
ushuaia,ar,"04/19/2020, 11:01:01",-54.8,-68.3,44.6,75,75,19.46,drizzle,0.0,0.0
ilulissat,gl,"04/19/2020, 11:02:31",69.22,-51.1,28.4,58,52,20.8,broken clouds,0.0,0.0
santa luzia,br,"04/19/2020, 11:03:12",-19.77,-43.85,73.4,69,75,9.17,broken clouds,0.0,0.0
provideniya,ru,"04/19/2020, 11:03:12",64.38,-173.3,18.32,94,98,15.28,light snow,0.0,0.43
vila velha,br,"04/19/2020, 11:00:28",-20.33,-40.29,79.0,61,20,13.87,few clouds,0.0,0.0
hermanus,za,"04/19/2020, 11:03:13",-34.42,19.23,63.0,92,59,1.99,broken clouds,0.0,0.0
atuona,pf,"04/19/2020, 10:58:35",-9.8,-139.03,82.45,76,92,15.55,light rain,0.32,0.0
kapaa,us,"04/19/2020, 11:03:13",22.08,-159.32,71.01,83,40,5.82,scattered clouds,0.0,0.0
lorengau,pg,"04/19/2020, 11:03:13",-2.02,147.27,82.11,78,30,5.06,scattered clouds,0.0,0.0
hithadhoo,mv,"04/19/2020, 10:58:14",-0.6,73.08,85.21,74,36,11.39,scattered clouds,0.0,0.0
abasolo,mx,"04/19/2020, 11:03:14",20.45,-101.52,77.0,33,40,6.93,scattered clouds,0.0,0.0
blairmore,ca,"04/19/2020, 11:02:52",49.6,-114.44,48.2,57,1,6.91,clear sky,0.0,0.0
vaini,to,"04/19/2020, 11:03:09",-21.2,-175.2,77.0,83,20,9.17,few clouds,0.0,0.0
bredasdorp,za,"04/19/2020, 10:58:28",-34.53,20.04,62.6,82,4,3.36,clear sky,0.0,0.0
kapaa,us,"04/19/2020, 11:03:13",22.08,-159.32,71.01,83,40,5.82,scattered clouds,0.0,0.0
revelstoke,ca,"04/19/2020, 11:00:21",50.98,-118.2,46.4,65,1,3.36,clear sky,0.0,0.0
jamestown,sh,"04/19/2020, 11:03:06",42.1,-79.24,51.8,50,75,18.34,broken clouds,0.0,0.0
punta arenas,cl,"04/19/2020, 11:03:16",-53.15,-70.92,44.6,65,40,41.38,scattered clouds,0.0,0.0
ushuaia,ar,"04/19/2020, 11:03:16",-54.8,-68.3,44.6,75,75,19.46,drizzle,0.0,0.0
punta arenas,cl,"04/19/2020, 11:03:16",-53.15,-70.92,44.6,65,40,41.38,scattered clouds,0.0,0.0
bumba,cd,"04/19/2020, 11:03:17",2.18,22.47,74.26,83,95,3.83,light rain,0.98,0.0
tautira,pf,"04/19/2020, 11:03:17",-17.73,-149.15,82.4,74,75,2.24,broken clouds,0.0,0.0
yellowknife,ca,"04/19/2020, 11:03:17",62.46,-114.35,21.2,67,20,14.99,few clouds,0.0,0.0
mataura,pf,"04/19/2020, 11:03:18",-46.19,168.86,44.01,83,93,5.01,light rain,0.54,0.0
vaini,to,"04/19/2020, 11:03:09",-21.2,-175.2,77.0,83,20,9.17,few clouds,0.0,0.0
port elizabeth,za,"04/19/2020, 11:03:18",-33.92,25.57,71.6,73,2,2.24,clear sky,0.0,0.0
ushuaia,ar,"04/19/2020, 11:03:16",-54.8,-68.3,44.6,75,75,19.46,drizzle,0.0,0.0
atuona,pf,"04/19/2020, 10:58:35",-9.8,-139.03,82.45,76,92,15.55,light rain,0.32,0.0
hobart,au,"04/19/2020, 11:03:19",-42.88,147.33,50.0,81,40,10.69,scattered clouds,0.0,0.0
redmond,us,"04/19/2020, 11:01:43",47.67,-122.12,55.99,76,78,2.68,broken clouds,0.0,0.0
saldanha,za,"04/19/2020, 10:59:16",-33.01,17.94,60.8,82,0,12.75,clear sky,0.0,0.0
dikson,ru,"04/19/2020, 11:03:20",73.51,80.55,35.4,88,100,30.65,light rain,0.12,0.0
bontang,id,"04/19/2020, 10:58:29",0.13,117.5,75.96,85,100,4.09,light rain,0.94,0.0
mokhsogollokh,ru,"04/19/2020, 11:03:20",61.47,128.92,5.54,91,0,3.8,clear sky,0.0,0.0
esperance,au,"04/19/2020, 11:03:21",-33.87,121.9,51.8,93,6,6.93,clear sky,0.0,0.0
sabang,id,"04/19/2020, 11:03:21",5.89,95.32,83.26,75,83,7.78,broken clouds,0.0,0.0
puerto colombia,co,"04/19/2020, 11:03:21",10.99,-74.95,89.6,59,75,9.17,broken clouds,0.0,0.0
hervey bay,au,"04/19/2020, 11:02:40",-25.3,152.85,68.0,100,75,2.71,broken clouds,0.0,0.0
upington,za,"04/19/2020, 11:03:22",-28.45,21.26,87.8,25,40,5.82,scattered clouds,0.0,0.0
bitung,id,"04/19/2020, 11:03:22",1.45,125.18,77.0,94,40,1.12,scattered clouds,0.0,0.0
talcahuano,cl,"04/19/2020, 11:03:22",-36.72,-73.12,66.2,63,95,6.93,overcast clouds,0.0,0.0
qaanaaq,gl,"04/19/2020, 11:03:23",77.48,-69.36,17.53,89,68,8.03,broken clouds,0.0,0.0
nanortalik,gl,"04/19/2020, 11:03:23",60.14,-45.24,30.18,89,14,15.79,few clouds,0.0,0.0
najran,sa,"04/19/2020, 11:03:23",17.49,44.13,73.4,64,75,4.7,broken clouds,0.0,0.0
kapaa,us,"04/19/2020, 11:03:13",22.08,-159.32,71.01,83,40,5.82,scattered clouds,0.0,0.0
norman wells,ca,"04/19/2020, 11:03:24",65.28,-126.83,24.8,85,75,19.46,broken clouds,0.0,0.0
san pedro,ar,"04/19/2020, 11:03:24",14.35,121.02,84.2,66,40,6.93,scattered clouds,0.0,0.0
belyy yar,ru,"04/19/2020, 11:03:25",53.6,91.39,42.8,35,0,8.95,clear sky,0.0,0.0
rikitea,pf,"04/19/2020, 11:03:25",-23.12,-134.97,76.75,70,59,7.87,broken clouds,0.0,0.0
mogadishu,so,"04/19/2020, 10:59:04",2.04,45.34,84.88,70,99,9.28,overcast clouds,0.0,0.0
haines junction,ca,"04/19/2020, 11:03:25",60.75,-137.51,42.67,53,100,4.97,overcast clouds,0.0,0.0
bluff,nz,"04/19/2020, 11:03:26",-46.6,168.33,44.01,83,97,5.01,light rain,1.66,0.0
