,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,mataura,pf,54.0,light rain,-46.19,168.86,Ellie's Villa
24,vestmannaeyjar,is,45.54,light rain,63.44,-20.27,Glamping & Camping
32,mataura,pf,54.0,light rain,-46.19,168.86,Ellie's Villa
50,busselton,au,69.01,light rain,-33.65,115.33,Observatory Guest House
61,martos,es,60.01,light rain,37.72,-3.97,Hotel Hidalgo Martos
76,busselton,au,69.01,light rain,-33.65,115.33,Observatory Guest House
79,tezu,in,72.55,light rain,27.92,96.17,Circuit House
87,ribeira grande,pt,60.64,light rain,38.52,-28.7,Quinta da Meia Eira
90,bluff,nz,54.0,light rain,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
95,hofn,is,45.59,light rain,64.25,-15.21,Hótel Höfn
106,bluff,nz,54.0,light rain,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
107,bluff,nz,54.0,light rain,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
111,tuatapere,nz,54.0,light rain,-46.13,167.68,Tom Cruse Refreshment Company
136,busselton,au,69.01,light rain,-33.65,115.33,Observatory Guest House
137,mataura,pf,54.0,light rain,-46.19,168.86,Ellie's Villa
157,busselton,au,69.01,light rain,-33.65,115.33,Observatory Guest House
161,sayyan,ye,59.36,light rain,15.17,44.32,الاستاذة مروى اليوسفي
162,jacareacanga,br,72.99,light rain,-6.22,-57.75,Casa do Ian😎
163,karabulak,ru,42.8,light rain,43.3,44.9,
181,busselton,au,69.01,light rain,-33.65,115.33,Observatory Guest House
194,busselton,au,69.01,light rain,-33.65,115.33,Observatory Guest House
198,lagoa,pt,61.36,light rain,39.05,-27.98,Casa Das Faias
211,mataura,pf,54.0,light rain,-46.19,168.86,Ellie's Villa
222,ribeira grande,pt,60.64,light rain,38.52,-28.7,Quinta da Meia Eira
241,busselton,au,69.01,light rain,-33.65,115.33,Observatory Guest House
246,bluff,nz,54.0,light rain,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
249,ribeira grande,pt,60.64,light rain,38.52,-28.7,Quinta da Meia Eira
264,busselton,au,69.01,light rain,-33.65,115.33,Observatory Guest House
271,mataura,pf,54.0,light rain,-46.19,168.86,Ellie's Villa
272,jaca,es,55.0,light rain,42.57,-0.55,Hotel Real Jaca & Spa
279,mirador,br,72.54,light rain,-6.37,-44.36,Pousada Casa Nova
280,bluff,nz,54.0,light rain,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
289,mataura,pf,54.0,light rain,-46.19,168.86,Ellie's Villa
291,mataura,pf,54.0,light rain,-46.19,168.86,Ellie's Villa
297,feira de santana,br,72.1,light rain,-12.27,-38.97,Hotel Paraiso
303,ribeira grande,pt,60.64,light rain,38.52,-28.7,Quinta da Meia Eira
308,mataura,pf,54.0,light rain,-46.19,168.86,Ellie's Villa
310,busselton,au,69.01,light rain,-33.65,115.33,Observatory Guest House
312,tuatapere,nz,54.0,light rain,-46.13,167.68,Tom Cruse Refreshment Company
315,mataura,pf,54.0,light rain,-46.19,168.86,Ellie's Villa
321,ribeira grande,pt,60.64,light rain,38.52,-28.7,Quinta da Meia Eira
326,kaitangata,nz,59.0,light rain,-46.28,169.85,Kaitangata Motor Camp
365,bluff,nz,54.0,light rain,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
375,busselton,au,69.01,light rain,-33.65,115.33,Observatory Guest House
392,ilhabela,br,71.82,light rain,-23.78,-45.36,Ilha Flat Hotel
396,mataura,pf,54.0,light rain,-46.19,168.86,Ellie's Villa
406,santo antonio do ica,br,73.26,light rain,-3.1,-67.94,Hotel Fogaça
408,bluff,nz,54.0,light rain,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
410,ribeira grande,pt,60.64,light rain,38.52,-28.7,Quinta da Meia Eira
415,acurenam,gq,68.25,light rain,1.03,10.65,
419,busselton,au,69.01,light rain,-33.65,115.33,Observatory Guest House
436,kaitangata,nz,59.0,light rain,-46.28,169.85,Kaitangata Motor Camp
439,busselton,au,69.01,light rain,-33.65,115.33,Observatory Guest House
444,busselton,au,69.01,light rain,-33.65,115.33,Observatory Guest House
471,tiznit,ma,55.99,light rain,29.58,-9.5,
473,mataura,pf,54.0,light rain,-46.19,168.86,Ellie's Villa
485,hofn,is,45.59,light rain,64.25,-15.21,Hótel Höfn
495,bluff,nz,54.0,light rain,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
500,debre birhan,et,48.69,moderate rain,9.68,39.53,Helen Hotel
501,busselton,au,69.01,light rain,-33.65,115.33,Observatory Guest House
545,dunedin,nz,56.05,light rain,-45.87,170.5,Scenic Hotel Southern Cross
