City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tezu,27.92,96.17,70.84,64,22,3.8,IN,2020-04-17 14:54:44
1,Jumla,29.27,82.18,51.3,31,85,0.65,NP,2020-04-17 14:54:44
2,Yellowknife,62.46,-114.35,28.4,79,75,18.34,CA,2020-04-17 14:54:44
3,Rikitea,-23.12,-134.97,76.86,66,50,7.16,PF,2020-04-17 14:51:03
4,New Norfolk,-42.78,147.06,51.01,74,54,7.0,AU,2020-04-17 14:54:45
5,Nome,64.5,-165.41,34.0,100,90,8.05,US,2020-04-17 14:54:45
6,Lompoc,34.64,-120.46,55.4,87,90,3.36,US,2020-04-17 14:54:30
7,Albany,42.6,-73.97,44.01,27,95,4.0,US,2020-04-17 14:50:34
8,Shimoda,34.67,138.95,53.01,92,100,18.88,JP,2020-04-17 14:54:47
9,Puerto Ayora,-0.74,-90.35,75.99,94,90,4.7,EC,2020-04-17 14:54:36
10,Tokur,53.13,132.9,27.36,82,37,4.05,RU,2020-04-17 14:54:48
11,Busselton,-33.65,115.33,60.01,47,96,9.82,AU,2020-04-17 14:54:24
12,Port Lincoln,-34.73,135.87,60.73,67,43,7.02,AU,2020-04-17 14:54:48
13,Fort Morgan,40.25,-103.8,17.6,92,90,10.29,US,2020-04-17 14:54:48
14,Nikolskoye,59.7,30.79,39.99,82,90,20.13,RU,2020-04-17 14:54:26
15,Ust-Nera,64.57,143.2,-4.13,78,100,9.06,RU,2020-04-17 14:54:49
16,Ionia,42.99,-85.07,35.01,86,90,5.82,US,2020-04-17 14:54:49
17,Novovarshavka,54.17,74.69,57.09,46,3,9.57,RU,2020-04-17 14:54:50
18,Hobart,-42.88,147.33,51.8,53,90,12.75,AU,2020-04-17 14:53:17
19,Pozo Colorado,-23.49,-58.8,75.11,30,100,5.28,PY,2020-04-17 14:54:50
20,Georgetown,5.41,100.34,84.2,79,20,1.12,MY,2020-04-17 14:54:11
21,Lebu,-37.62,-73.65,65.21,66,98,9.26,CL,2020-04-17 14:54:20
22,Butaritari,3.07,172.79,82.89,78,86,15.21,KI,2020-04-17 14:54:51
23,Punta Arenas,-53.15,-70.92,44.6,70,0,13.87,CL,2020-04-17 14:51:06
24,Neuquen,-38.95,-68.06,68.0,42,0,2.24,AR,2020-04-17 14:52:19
25,Katsuura,35.13,140.3,57.0,84,100,1.01,JP,2020-04-17 14:54:52
26,Cape Town,-33.93,18.42,68.0,56,20,12.75,ZA,2020-04-17 14:52:16
27,Cascas,-7.48,-78.82,64.4,48,20,2.24,PE,2020-04-17 14:54:52
28,Port Elizabeth,-33.92,25.57,68.0,64,13,8.05,ZA,2020-04-17 14:54:52
29,Hilo,19.73,-155.09,69.8,83,90,5.82,US,2020-04-17 14:52:52
30,Sao Filipe,14.9,-24.5,71.22,75,0,20.45,CV,2020-04-17 14:54:53
31,Potosi,-19.58,-65.75,43.47,21,99,6.87,BO,2020-04-17 14:54:53
32,Eydhafushi,5.1,73.07,86.05,72,12,8.99,MV,2020-04-17 14:54:53
33,Port Hardy,50.7,-127.42,42.8,93,90,2.24,CA,2020-04-17 14:50:41
34,Bambous Virieux,-20.34,57.76,77.0,69,40,16.11,MU,2020-04-17 14:51:25
35,Kodiak,57.79,-152.41,44.6,87,20,4.16,US,2020-04-17 14:54:54
36,Mataura,-46.19,168.86,48.0,95,100,4.0,NZ,2020-04-17 14:54:16
37,Umm Lajj,25.02,37.27,77.76,46,0,11.83,SA,2020-04-17 14:54:55
38,Neiafu,-18.65,-173.98,75.2,94,75,12.28,TO,2020-04-17 14:54:55
39,Srednekolymsk,67.45,153.68,-2.83,92,97,8.14,RU,2020-04-17 14:54:55
40,Inhambane,-23.86,35.38,82.4,69,20,8.05,MZ,2020-04-17 14:54:55
41,Tinskoy,56.15,96.92,37.6,81,99,4.9,RU,2020-04-17 14:54:56
42,Muhos,64.81,25.99,39.0,91,75,21.92,FI,2020-04-17 14:54:56
